sysnet_id,description
n02119789,kit fox
n02100735,English setter
n02390258,hinny
n02129991,liger
n02096294,Australian terrier
n02073831,manatee
n02390101,mule
n02496913,lemur
n02509815,lesser panda
n02131653,bear
n02090475,wolfhound
n02357585,chickeree
n02124075,Egyptian cat
n02499808,galago
n02123394,Persian cat
n02125311,cougar
n02423022,gazelle
n02447366,badger
n02109047,Great Dane
n02091134,whippet
n02147947,pipistrelle
n02092002,Scottish deerhound
n02088839,coonhound
n02071294,killer whale
n02089555,foxhound
n02442845,mink
n02429456,pronghorn
n02351870,jerboa
n02486657,chacma
n02095412,wirehair
n02128925,jaguar
n02091635,otterhound
n02088466,bloodhound
n02421449,gnu
n02401031,bovid
n02427576,lechwe
n02443484,black-footed ferret
n02470238,simian
n02084861,cur
n02445715,skunk
n02450034,marten
n02364520,cavy
n02112826,corgi
n02441942,weasel
n02425228,bushbuck
n02508742,bassarisk
n02105162,malinois
n02488702,colobus
n02064000,bowhead
n02481500,silverback
n02368116,viscacha
n02126787,manul
n02389261,pinto
n02422699,impala
n02488894,guereza
n02422106,hartebeest
n02104365,schipperke
n02448318,ratel
n02414763,argali
n02484975,guenon
n02500267,indri
n02411705,sheep
n02380335,pony
n02082791,aardvark
n02106966,pinscher
n02096756,schnauzer
n02093056,bullterrier
n02431337,hart
n02113335,poodle
n02344528,lemming
n02412210,wether
n02391049,zebra
n02378415,warhorse
n02430045,deer
n02480495,orangutan
n02110806,basenji
n02419796,antelope
n02100583,vizsla
n02101108,spaniel
n02386310,workhorse
n02105056,groenendael
n02101556,clumber
n02411999,ewe
n02136794,fanaloka
n02481823,chimpanzee
n02105505,komondor
n02416104,aoudad
n02414209,longwool
n02498153,aye-aye
n02092173,staghound
n02075296,carnivore
n02480855,gorilla
n02421136,addax
n02421792,dik-dik
n02375302,roan
n02427724,waterbuck
n02136103,binturong
n02330245,mouse
n02414290,merino
n02442336,stoat
n02509515,coati
n02428349,oryx
n02089232,dachshund
n02376918,male horse
n02426813,eland
n02483708,siamang
n02106030,collie
n02471762,hominid
n02118176,aardwolf
n02428508,gemsbok
n02090827,greyhound
n02326432,hare
n02088364,beagle
n02381004,buckskin
n02486261,patas
n02115913,dhole
n02424305,kudu
n02451415,tayra
n02486410,baboon
n02487347,macaque
n02420828,gerenuk
n02501583,tarsier
n02147328,serotine
n02422391,sassaby
n02104029,kuvasz
n02110958,pug
n02366959,coypu
n02407763,cattalo
n02092468,terrier
n02087314,courser
n02485371,grivet
n02404906,zebu
n02416519,goat
n02112350,keeshond
n02111626,spitz
n02428089,puku
n02433925,caribou
n02377480,mare
n02087551,hound
n02496052,prosimian
n02427470,kob
n02374451,horse
n02132580,grizzly
n02431628,sambar
n02389128,palomino
n02125689,jaguarundi
n02342885,hamster
n02426176,saiga
n02415130,urial
n02064338,rorqual
n02088238,basset
n02435853,chevrotain
n02366002,agouti
n02355227,squirrel
n02410509,bison
n02361587,groundhog
n02491107,tamarin
n02331046,rat
n02439033,giraffe
n02324045,rabbit
n02485536,vervet
n02404432,longhorn
n02123045,tabby
n02126640,margay
n02072493,narwhal
n02120997,feline
n02402010,bovine
n02109525,Saint Bernard
n02470325,ape
n02432983,elk
n02508021,raccoon
n02370806,ungulate
n02088632,bluetick
n02090379,redbone
n02368399,abrocome
n02443114,polecat
n02361337,marmot
n02129165,lion
n02139199,bat
n02420509,blackbuck
n02486908,mandrill
n02388735,chestnut
n02074367,dugong
n02149420,freetail
n02381261,dun
n02108254,mastiff
n02453108,pachyderm
n02102480,Sussex spaniel
n02130086,tiglon
n02352591,dormouse
n02509197,kinkajou
n02484322,monkey
n02426481,steenbok
n02070430,porpoise
n02461830,pangolin
n02099029,retriever
n02375438,stablemate
n02372584,hyrax
n02384741,steeplechaser
n02122430,mouser
n02431785,wapiti
n02434954,muntjac
n02343772,gerbil
n02488291,langur
n02130308,cheetah
n02105251,briard
n02444819,otter
n02108672,bulldog
n02126139,serval
n02425532,nilgai
n02431441,hind
n02329401,rodent
n01881171,phalanger
n01887787,cow
n01882714,koala
n01885498,numbat
n01872401,echidna
n01877134,kangaroo
n01884476,thylacine
n01873310,platypus
n01876326,bandicoot
n01889074,insectivore
n01881564,cuscus
n01883070,wombat
n01879217,pademelon
n01322604,puppy
n01887474,livestock
n01639765,frog
n11978233,sunflower
n13111881,bonsai
n07745940,strawberry
n04474035,transporter
n03977966,police van
n02933112,cabinet
n03636649,lamp
n02828884,bench
n03001627,chair
n04256520,sofa
n04447861,toilet seat
n03982430,pool table
n04379243,table
n12267677,acorn
n03249569,drum
n03721384,marimba
n11939491,daisy
n12102133,grass
n03075097,comb
n03384167,fork
n01796340,ptarmigan
n02536864,coho
n01693334,green lizard
n03339643,filter
n04118776,rule
n03613294,key
n03614007,keyboard
n04574999,wheel
n03329302,Ferris wheel
n04102406,roller coaster
n02910353,buckle
n02928608,button
n04228054,ski
n01773549,barn spider
n01773797,garden spider
n02270623,silverfish
n03990474,pot
n03233905,drawer
n02898711,bridge
n02913152,building
n03135532,cross
n04128413,sail
n04038727,rack
n04587648,window
n04460130,tower
n07568818,roughage
n07864934,chili
n07900225,varietal
n07611991,mousse
n07916041,martini
n07899976,generic
n07564971,vegetarianism
n02773037,bag
n07567139,coloring
n07917392,sidecar
n07617188,pudding
n07904293,slivovitz
n02768226,backboard
n07859583,syrup
n07593107,slumgullion
n07859284,sugar
n07880458,schnitzel
n07580359,casserole
n04188179,sheet
n07683490,chapatti
n07854614,ricotta
n07908647,anisette
n07903962,grappa
n07926346,limeade
n07852045,bleu
n03145522,cue
n03325584,feather boa
n07694659,shortcake
n07866015,croquette
n07880213,terrine
n07683360,bannock
n07823105,chutney
n07867421,fondue
n07937621,ramekin
n03354903,flag
n07872593,moussaka
n02802215,basket
n07908411,absinth
n07625061,samosa
n07910245,kummel
n07611267,flan
n07832416,pesto
n07835823,bordelaise
n07686202,limpa
n07897116,retsina
n07879174,sukiyaki
n07926250,lemonade
n07863374,pasta
n07590320,goulash
n07879072,succotash
n07854184,mozzarella
n02876657,bottle
n07875152,potpie
n07869937,kedgeree
n07880080,teriyaki
n07910379,maraschino
n07914413,daiquiri
n07904072,kirsch
n07935288,hyson
n07613266,tiramisu
n07621497,zabaglione
n08598301,grassland
n07892418,vintage
n07832592,ravigote
n07913644,bullshot
n07852376,gorgonzola
n07893642,champagne
n07911249,sambuca
n07857170,miso
n07838073,gravy
n07881404,tostada
n07840027,veloute
n07858978,honey
n07874780,porridge
n07823951,curry
n07823460,salsa
n07822197,catsup
n07899108,vermouth
n07876189,sauerkraut
n07672914,margarine
n02808440,bathtub
n07843464,souffle
n07857731,hummus
n02778669,ball
n07837755,demiglace
n07806221,salad
n07683617,pita
n07842753,omelet
n07880968,burrito
n04459362,towel
n02802426,basketball
n04318131,stick
n04292414,squash racket
n07926442,orangeade
n07871335,macedoine
n07869611,jambalaya
n09393605,plain
n07917272,screwdriver
n02883344,box
n03715892,mallet
n07873807,pizza
n02846511,blackboard
n07579917,adobo
n07593004,pot-au-feu
n07655263,saute
n07615774,ice lolly
n07616386,parfait
n07841345,egg yolk
n07592656,ragout
n07935043,souchong
n07857959,pate